date_collected,sample_number,site,date_processed,weigh_boat_number,sample_identity,emptyboat_weight,48h_weight,72h_weight,preash_weight,postash_weight,notes
Aug 10,164,eagle,Oct 6,5,algae,1.096,1.108,1.109,,,
Aug 10,164,eagle,Oct 6,8,algae,1.08,1.095,1.094,,,
Aug 10,164,eagle,Oct 6,13,anemone,1.068,1.098,1.098,,,
Aug 9,100,dixon,Oct 8,18,algae,1.109,1.134,1.133,1.134,1.124,probably has barnacle blended into anemone sample
Aug 9,100,dixon,Oct 8,21,algae,1.071,1.09,1.09,1.092,1.085,
Aug 9,100,dixon,Oct 8,38,anemone,1.075,1.1,1.097,,,
Aug 9,100,dixon,Oct 8,41,anemone,1.053,1.077,1.074,1.076,1.064,
Aug 9,100,dixon,Oct 8,46,anemone,1.064,1.09,1.088,,,
Aug 8,53,wizard,Oct 8,29,algae,1.076,1.086,1.086,1.085,1.082,
Aug 8,53,wizard,Oct 8,32,anemone,1.067,1.083,1.082,,,
Aug 10,145,aguilar,Oct 10,59,algae,1.066,1.078,1.077,1.077,1.073,
Aug 10,145,aguilar,Oct 10,53,anemone,1.07,1.081,1.082,1.083,1.077,
Aug 10,173,eagle,Oct 10,69,algae,1.117,1.128,1.13,,,
Aug 10,173,eagle,Oct 10,62,anemone,1.081,1.096,1.097,1.099,1.09,
Aug 10,189,eagle,Oct 10,73,algae,1.087,1.103,1.104,1.104,1.095,
Aug 10,189,eagle,Oct 10,79,algae,1.065,1.078,1.077,1.077,1.073,
Aug 10,189,eagle,Oct 10,81,anemone,1.066,1.102,1.102,1.105,1.079,
Aug 9,92,dixon,Oct 15,168,anemone,1.122,1.141,1.142,1.14,1.129,
Aug 9,92,dixon,Oct 15,175,anemone,1.112,1.156,1.155,1.157,1.128,
Aug 9,92,dixon,Oct 15,172,algae,1.114,1.131,1.131,1.132,1.122,
Aug 9,92,dixon,Oct 15,174,algae,1.114,1.124,1.124,1.124,1.121,
Aug 10,122,aguilar,Oct 15,171,anemone,1.12,1.142,1.142,1.142,1.13,
Aug 10,122,aguilar,Oct 15,169,algae,1.12,1.137,1.139,1.138,1.128,
Aug 7,32,ross,Oct 15,170,anemone,1.107,1.131,1.131,1.132,1.116,
Aug 7,32,ross,Oct 15,176,algae,1.092,1.108,1.108,1.108,1.1,
Aug 7,32,ross,Oct 15,178,algae,1.109,1.119,1.12,1.117,1.115,
Aug 7,5,ross,Oct 15,179,anemone,1.06,1.084,1.085,1.084,1.074,
Aug 7,5,ross,Oct 15,181,algae,1.074,1.09,1.09,1.089,1.082,
Aug 8,41,wizard,Oct 17,87,algae,1.067,1.084,1.083,1.084,1.075,
Aug 8,41,wizard,Oct 17,99,anemone,1.101,1.127,1.128,1.127,1.11,
Aug 10,135,aguilar,Oct 17,92,algae,1.121,1.131,1.131,1.131,1.128,
Aug 10,135,aguilar,Oct 17,106,anemone,1.068,1.082,1.081,1.081,1.075,
Aug 7,8,ross,Oct 17,100,algae,,1.098,1.097,1.098,1.091,
Aug 7,8,ross,Oct 17,182,anemone,1.087,1.11,1.111,,,
Aug 10,180,eagle,Oct 17,195,algae,1.065,1.078,1.079,1.079,1.072,
Aug 10,180,eagle,Oct 17,196,anemone,1.071,1.089,1.089,1.09,1.082,
Aug 7,13,ross,Oct 24,198,algae,1.069,1.086,1.085,1.086,1.076,
Aug 7,13,ross,Oct 24,199,algae,1.068,1.077,1.077,1.076,1.073,
Aug 7,13,ross,Oct 24,200,anemone,1.077,1.096,1.095,1.097,1.083,
Aug 8,79,wizard,Oct 24,183,algae,1.1089,1.118,1.117,1.119,1.113,
Aug 8,79,wizard,Oct 24,184,anemone,1.084,1.098,1.099,1.099,1.09,
